Drug 1,Drug 2,Tanimoto,Cosine,Difference
Clofazimine,Linezolid,0.0989010989010989,0.4637138083093292,0.3648127094082303
Capreomycin,Streptomycin,0.09848484848484848,0.40279911695755233,0.3043142684727038
Amikacin,Rifampicin,0.0962962962962963,0.014002977560557588,0.08229331873573871
Clofazimine,Delamanid,0.09523809523809523,0.7041010334299787,0.6088629381918834
Bedaquiline,Moxifloxacin,0.09259259259259259,0.45905001089421466,0.36645741830162204
Capreomycin,Isoniazid,0.09183673469387756,0.19169625349184966,0.0998595187979721
Levofloxacin,Pyrazinamide,0.09090909090909091,0.2791666937867371,0.18825760287764617
Bedaquiline,Delamanid,0.08849557522123894,0.6035550220243446,0.5150594468031057
Capreomycin,Levofloxacin,0.0873015873015873,-0.03439410281232025,0.12169569011390755
Ethambutol,Isoniazid,0.08571428571428572,0.2580824704325819,0.1723681847182962
Clofazimine,Ethionamide,0.08450704225352113,0.5724444933083099,0.4879374510547888
Amikacin,Isoniazid,0.08333333333333333,0.15828307711255224,0.07494974377921891
Delamanid,Ethionamide,0.08235294117647059,0.48896338992022903,0.40661044874375846
Bedaquiline,Isoniazid,0.0821917808219178,0.40158976906265653,0.31939798824073873
Capreomycin,Pyrazinamide,0.08080808080808081,0.21379135671751467,0.13298327590943387
Moxifloxacin,Pyrazinamide,0.08,0.27208826971987365,0.19208826971987364
Capreomycin,Rifampicin,0.07926829268292683,-0.07572996022301648,0.15499825290594332
Capreomycin,Kanamycin,0.07758620689655173,0.35326277570053327,0.27567656880398156
Capreomycin,Ethionamide,0.0761904761904762,0.02212455766635022,0.054065918524125976
Clofazimine,Isoniazid,0.07575757575757576,0.48189379892949463,0.4061362231719189
Linezolid,Pyrazinamide,0.07575757575757576,0.3382844289653235,0.26252685320774777
Delamanid,Isoniazid,0.075,0.47647282801244895,0.40147282801244893
Isoniazid,Levofloxacin,0.07462686567164178,0.3715975877782555,0.29697072210661374
Kanamycin,Rifampicin,0.0743801652892562,0.002919288641454059,0.07146087664780214
Amikacin,Moxifloxacin,0.07339449541284404,-0.01014129170546424,0.08353578711830828
